sentence,,,,,,,,,,,,,,,,,,,,,,,,,label
,,,,,,,,,,,,,,,,,,,,,,,,,
Nouman Atiq M,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
+971 55 6076434,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
An experienced finance professional specializing in fixed income and related products,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Focused on MENA/Asian,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Well established relationships with dedicated MENA investor community – Middle East bank treasuries,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
institutional/corporate investors and hedge funds,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Nine year proven track record of execution and distribution of capital markets transactions,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
WORK EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2007 - Present                    National Bank of Abu Dhabi (NBAD)                             Abu Dhabi/Dubai,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Director – Institutional Sales,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Global Markets                                                                  Dec 2013 – Present,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Single and direct contact for capital market product dealings for Financial Institutions & Non-Banking Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Covering markets in MENA (mainly GCC),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Asia,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Market and execute fixed income trades in primary and secondary markets,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-selling was one of the main focuses for credit distribution,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Would ensure every bond sold was proposed,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
with an IRS hedge and then a REPO in order to offer a tailor made investment to a client,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Distributed public issues and private placements for corporates and sovereigns,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Manager – Primary Markets Syndicate & Secondary Sales                                       May 2010 – Nov 2013,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Worked closely with the Head of Primary Markets Syndicate in the pricing,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
marketing and execution of fixed income new issues for MENA issuers,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Help establish NBAD’s network as a major distributor of fixed income instruments in the international capital markets,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Actively sold bonds and sukuks at the secondary level in support of Global Market’s strategy to increase flow,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
business rather than depend on proprietary activities,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully syndicated deals where NBAD was a book runner and ensured that NBAD maintains its position as a,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
book runner of choice,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Involved  in  the  end-to-end  execution  of  transactions  including  advising  issuers  on  best  marketing/execution,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
strategies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
setup roadshows across MENA/Europe/Asia,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
book building,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
allocations and pricing,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Associate – Capital Markets Department                                                                        Dec 2007 – Apr 2010,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Assisted the CMD head in setting up the desk and establishing an investor/counterparty relationship network across the globe,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
This involved cold calling multiple accounts in MENA/Europe/Asia,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Supported the Capital markets team in their day to day and distribution efforts by providing client-facing support,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
and up-to date marketing material,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Involved in selection of various web based applications for book building of new issues,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Assisted the sales-trading team in their day to day activities,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
booking tickets,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
following up with middle/back office,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Support the desk by developing/improving /maintaining trading tools,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared product marketing materials and weekly/monthly distribution reports,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
This would involve monitoring,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
primary markets,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
pricing benchmark yields,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
market spreads,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
secondary market trading levels and liquidity,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully transitioned & implemented credit card services process & handled key deliverables pertaining to,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
transition from Australia to India,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Undertook transition & Process Implementation in Australia to transition a banking credit card process to India,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Successfully completed end to end process documentation,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
training and hiring of team,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Assistant Manager Operations                Client – Dun & Bradstreet                                              Sept 2005 – Oct 2006,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Preparing & tracking various weekly/monthly reports to maximize collections and reduce aged debt,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Executing Six Sigma projects to dramatically improve delivery results of existing workflow & heading a team of 14,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
agents involved in dispute management in an accounts receivables process,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Supporting  internal  &  external  audits  (SOX,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
eSCM)  developing  &  sharing  best  practices  as  part  of  the,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
transformation process,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Project Office Administrator                    Client – IBM USA                                                            Apr 2004 – Aug 2005,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Providing end to end Project Management support for over 25 IBM clients & managing IBM USA’s IT outsourced,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
projects remotely from Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
